报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.46,0.31,0.17,0.59,--,0.3,--,0.53,--,--,--,0.5,0.25,--,0.57,--,--,0.6,0.54,0.49,
每股净资产(元),5.21,5.08,5.08,4.99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.26,
每股经营活动产生的现金流量净额(元),--,2.44,--,-4.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.01,
主营业务收入(万元),511945,339213,169752,597573,430086,267560,129993,492612,348858,231035,113425,451764,227474,115165,470774,333436,216838,410413,343224,--,
主营业务利润(万元),239031,161803,86672,290366,223350,147305,80919,259809,209464,135717,77323,272494,137081,76206,260833,181929,129447,242275,210193,191485,
营业利润(万元),239031,161803,86672,290366,223350,147305,80919,259809,209464,135717,77323,272494,137081,76206,260833,181929,129447,242275,210193,191485,
投资收益(万元),39566,26190,10821,5397,3310,4080,1014,3867,1927,1167,1262,9284,3498,2688,928,-1476,-831,-5349,-431,33,
营业外收支净额(万元),-135,-61,-6,55,1666,1716,-23,293,250,331,-30,981,243,112,2728,5606,4686,239,6455,-601,
利润总额(万元),238896,161742,86665,290421,224996,149021,80896,260101,209714,136048,77293,273475,137324,76318,263561,187535,134133,242513,216648,190884,
净利润(万元),201098,133277,69951,236157,180037,120033,60673,213102,163177,109798,58064,201114,101779,60318,198951,137525,100100,180689,163054,--,
净利润(扣除非经常性损益后)(万元),200791,132959,69936,233966,--,117965,--,202355,--,--,--,197824,101620,--,188225,--,--,180722,148726,146172,
经营活动产生的现金流量净额(万元),-150219,1084114,-29021,-1774701,--,-903796,--,1263027,--,--,--,-20238,-1859270,--,-54868,--,--,-549578,290846,1202248,
现金及现金等价物净增加额(万元),-71189,704878,53225,-1147725,--,-457084,--,69317,--,--,--,-1406649,-1485477,--,1257634,--,--,-14762,485137,386270,
总资产(万元),26540208,25712687,25221725,24349013,23471696,23852274,21640875,23412052,20757115,20517858,21120200,21796805,18505194,17501548,21002360,14005390,13277838,15128193,13368030,12204941,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
总负债(万元),24220366,23450110,22959846,22349603,21532518,21976009,19807085,21640546,19033500,18841693,19481913,20199626,17003310,16006574,19560472,12634281,11938183,14145586,12538972,11527523,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股东权益不含少数股东权益(万元),2315459,2258330,2257518,1995186,1939178,1872117,1833790,1767643,1723615,1671584,1638287,1590319,1495414,1494974,1435192,1371109,1333395,976267,823079,--,
净资产收益率加权(%),9.1,6.12,--,12.61,--,6.59,--,12.66,--,--,--,13.33,6.91,--,16.64,--,--,20.22,22.08,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		